dayofweek,hour,age,numscreens,minigame,used_premium_feature,enrolled,liked
3, 02:00:00,23,15,0,0,0,0
6, 01:00:00,24,13,0,0,0,0
1, 19:00:00,23,3,0,1,0,1
4, 16:00:00,28,40,0,0,1,0
1, 18:00:00,31,32,0,0,1,1
2, 09:00:00,20,14,0,0,1,0
1, 02:00:00,35,3,0,0,0,0
1, 03:00:00,26,41,0,1,0,0
2, 14:00:00,29,33,1,1,1,0
4, 18:00:00,26,19,0,0,1,0
1, 04:00:00,39,14,0,0,1,0
1, 11:00:00,32,25,1,1,0,0
0, 06:00:00,25,11,0,0,0,0
5, 19:00:00,23,4,0,0,1,0
0, 04:00:00,17,9,0,0,0,0
5, 18:00:00,25,26,1,0,1,0
6, 16:00:00,21,6,0,0,1,0
5, 21:00:00,55,20,0,0,1,0
4, 05:00:00,32,15,0,0,1,1
5, 17:00:00,25,5,0,0,1,0
4, 09:00:00,28,8,0,1,1,0
5, 04:00:00,38,42,0,1,0,0
5, 17:00:00,31,9,1,0,1,0
6, 02:00:00,27,42,0,0,1,1
6, 20:00:00,48,1,1,0,1,0
6, 18:00:00,37,38,0,0,1,0
0, 16:00:00,22,49,1,0,1,0
2, 01:00:00,35,35,0,0,1,0
1, 11:00:00,32,19,0,1,1,0
5, 17:00:00,20,10,0,0,0,0
5, 00:00:00,23,52,0,0,1,0
2, 02:00:00,25,50,0,0,1,1
6, 20:00:00,23,76,0,0,1,0
0, 04:00:00,31,37,0,0,1,0
0, 18:00:00,26,16,1,0,1,0
3, 21:00:00,21,32,0,0,1,0
5, 22:00:00,36,47,0,0,0,0
3, 16:00:00,24,16,0,0,1,0
6, 22:00:00,25,40,0,0,1,0
0, 10:00:00,23,33,0,0,1,0
1, 06:00:00,25,90,0,0,1,0
1, 08:00:00,23,13,0,1,0,0
1, 08:00:00,25,24,0,0,0,0
0, 00:00:00,25,45,0,1,1,1
2, 15:00:00,21,20,0,0,1,1
1, 02:00:00,30,31,0,0,0,0
4, 14:00:00,58,45,0,0,0,0
5, 00:00:00,26,24,0,0,1,0
4, 13:00:00,40,16,0,0,1,0
4, 20:00:00,24,39,0,1,0,0
5, 08:00:00,26,17,0,0,1,0
2, 04:00:00,33,28,0,1,1,1
1, 19:00:00,21,27,0,0,1,0
0, 02:00:00,21,10,0,0,0,0
4, 03:00:00,57,11,0,0,1,0
1, 04:00:00,22,19,0,0,0,0
0, 15:00:00,23,39,0,0,0,0
3, 19:00:00,20,57,0,0,1,0
1, 02:00:00,31,27,0,0,1,0
0, 20:00:00,24,23,0,0,0,1
5, 22:00:00,27,4,0,0,1,0
0, 22:00:00,33,21,0,0,1,0
4, 17:00:00,48,12,1,0,0,0
6, 17:00:00,32,38,0,0,1,0
6, 23:00:00,31,17,0,0,0,0
6, 19:00:00,24,16,1,1,0,0
2, 13:00:00,19,7,0,0,0,0
4, 05:00:00,37,41,0,0,1,0
6, 10:00:00,37,13,0,0,1,0
4, 06:00:00,45,39,0,0,1,1
6, 23:00:00,34,7,0,0,0,0
4, 12:00:00,38,14,0,0,0,1
1, 21:00:00,46,18,0,0,1,1
0, 01:00:00,22,8,0,0,1,0
2, 19:00:00,19,27,0,0,1,0
4, 07:00:00,28,52,0,0,1,1
6, 14:00:00,35,48,1,0,1,0
6, 16:00:00,28,32,0,0,0,0
3, 03:00:00,22,11,0,0,0,0
6, 02:00:00,21,16,0,0,1,0
0, 19:00:00,25,28,0,0,1,0
1, 03:00:00,23,29,0,0,1,0
5, 20:00:00,32,24,0,0,1,0
4, 02:00:00,34,21,0,0,1,0
6, 06:00:00,24,136,1,0,1,0
2, 19:00:00,25,10,0,0,1,0
0, 05:00:00,31,41,0,0,1,0
2, 16:00:00,27,28,0,1,1,0
6, 23:00:00,17,5,0,0,0,1
1, 16:00:00,35,13,0,0,1,0
5, 15:00:00,26,11,0,0,1,1
6, 08:00:00,27,8,0,1,0,1
3, 18:00:00,20,18,0,0,1,0
5, 04:00:00,30,47,0,0,1,0
1, 04:00:00,23,47,0,0,1,0
1, 21:00:00,56,13,1,0,0,0
2, 21:00:00,19,11,0,1,1,0
2, 18:00:00,42,21,0,1,0,0
6, 19:00:00,24,7,0,0,0,0
6, 05:00:00,30,7,0,0,1,0
2, 19:00:00,17,20,0,0,1,0
1, 14:00:00,30,18,0,0,1,1
2, 21:00:00,34,16,0,1,1,0
4, 22:00:00,37,4,0,0,0,0
1, 10:00:00,27,34,0,0,0,0
5, 06:00:00,19,16,0,0,1,0
4, 07:00:00,25,40,0,0,1,0
6, 11:00:00,20,1,1,0,0,0
3, 02:00:00,34,15,0,0,1,0
0, 04:00:00,24,59,0,0,1,0
3, 08:00:00,43,9,0,0,1,0
3, 14:00:00,41,45,0,0,1,0
3, 14:00:00,21,25,0,0,1,0
4, 22:00:00,29,33,0,0,1,1
1, 03:00:00,33,7,1,1,1,0
5, 19:00:00,26,29,1,0,0,0
4, 21:00:00,24,3,0,0,0,0
4, 19:00:00,17,4,0,0,0,0
5, 23:00:00,41,38,0,0,0,0
0, 12:00:00,30,21,1,1,1,1
3, 23:00:00,33,6,0,0,1,0
5, 15:00:00,23,49,0,0,1,0
5, 03:00:00,20,6,0,0,1,0
1, 18:00:00,31,8,0,0,1,0
5, 12:00:00,22,20,0,0,1,0
1, 13:00:00,30,41,0,0,1,0
6, 06:00:00,39,40,0,0,1,0
4, 21:00:00,31,25,0,1,1,0
3, 01:00:00,21,34,0,0,1,0
4, 15:00:00,37,11,0,0,0,0
1, 04:00:00,17,89,0,0,1,0
2, 00:00:00,31,22,0,0,1,0
1, 16:00:00,47,8,0,0,0,1
6, 05:00:00,24,20,0,0,1,0
6, 16:00:00,32,25,1,0,1,0
3, 18:00:00,25,25,0,1,1,0
3, 18:00:00,25,43,0,0,0,0
4, 23:00:00,26,13,0,0,1,0
4, 07:00:00,18,20,0,0,0,0
1, 04:00:00,29,47,1,1,1,0
5, 12:00:00,20,39,0,1,1,0
1, 12:00:00,22,38,0,0,1,0
6, 22:00:00,46,35,0,0,1,1
1, 21:00:00,31,36,1,0,1,0
1, 18:00:00,45,22,1,0,0,0
3, 19:00:00,28,12,0,0,0,0
1, 22:00:00,42,37,1,0,1,0
4, 03:00:00,23,20,1,1,1,1
